ai	4
al	4
an	8
ao	4
ay	3
ba	6
bg	8
bh	3
bi	5
bj	7
bk	5
bl	9
bm	4
bo	4
bp	8
bq	5
bs	4
bt	8
bv	3
bw	5
bx	3
by	9
bz	2
ca	3
ce	7
ci	7
ck	5
cn	2
co	9
cp	8
cq	6
ct	7
cu	6
cx	9
cy	3
cz	3
db	2
dg	3
dh	3
di	4
dj	3
dk	7
dm	2
dr	7
dv	3
dw	9
eb	6
ec	2
ed	4
ef	7
ei	1
ej	9
ek	8
ep	7
es	1
ev	6
ex	2
ey	8
fa	4
fc	2
fd	2
fe	5
fh	3
fp	4
fq	7
fr	4
fv	8
gb	5
gm	9
gn	3
gp	7
gq	7
gs	1
gt	8
gv	8
gw	1
gx	3
gy	3
gz	3
ha	4
hb	6
he	4
hq	7
hs	4
hu	7
hv	3
hy	8
ia	2
ic	3
id	6
if	1
ih	4
ii	2
ij	7
il	9
io	1
ip	6
iq	2
is	2
iu	8
iw	1
ix	5
jd	5
jf	1
jg	5
jh	1
ji	6
jj	9
jk	9
jo	3
jp	3
jq	9
jr	3
js	7
jt	8
ju	2
jx	3
jy	6
ka	3
ke	9
kg	2
kh	6
kl	8
kr	8
ks	2
kt	8
kv	7
kw	2
lc	7
ld	5
lg	8
lk	4
lm	4
lq	1
lu	1
lw	3
lx	6
ma	6
mb	5
mf	2
ml	8
mq	4
mv	3
mx	1
na	7
nb	8
nc	1
nd	7
ng	7
nh	1
ni	4
nk	3
nm	7
no	3
np	2
ns	8
nu	4
nw	3
nz	1
oe	5
of	7
og	6
ok	5
oo	5
oq	8
os	9
ot	5
ou	1
ov	1
oy	2
oz	4
pb	7
pc	2
pf	2
pi	1
pm	3
po	4
pp	4
pr	4
pu	4
pw	8
px	1
qb	5
qc	4
qd	5
qe	5
qf	4
qg	3
qh	1
qj	9
ql	3
qn	9
qp	3
qu	9
qv	9
qw	7
qx	4
qz	7
ra	1
rb	6
rf	2
rh	5
ri	8
rl	7
ro	4
rr	7
rt	1
rv	7
rx	9
ry	9
rz	8
sa	8
sd	7
sf	4
sg	8
sh	5
sj	9
sl	4
sm	3
sq	9
ss	3
sx	2
sz	2
ta	3
te	7
ti	2
tj	5
tl	8
ts	3
tx	8
ty	7
ud	9
uh	2
uj	5
uk	6
ul	1
uo	6
up	8
ur	8
us	7
uu	1
uv	2
ux	1
vb	2
vc	1
vf	2
vg	4
vh	7
vi	7
vm	3
vn	2
vr	9
vv	1
vy	4
wf	7
wi	6
wm	1
wn	5
wr	9
ws	8
wv	6
ww	3
wx	3
wz	8
xd	4
xg	4
xi	4
xj	3
xl	6
xm	2
xq	3
xs	6
xw	9
xx	5
xz	4
ya	3
yb	4
yd	5
ye	1
yg	7
yj	4
yk	6
yo	7
ys	5
yt	4
yu	5
yv	4
yw	3
zb	3
zc	5
zd	8
ze	1
zi	6
zl	5
zs	7
zu	7
zv	5
zw	5
zx	9
zy	2
